elapsed_s,uptime_ms,cell_v1,cell_v2,cell_v3,cell_v4,cell_v5,cell_v6,cell_v7,cell_vf1,cell_vf2,cell_vf3,cell_vf4,cell_vf5,cell_vf6,cell_vf7,pack_voltage_mv,pack_voltage_filtered_mv,current_ma,current_filtered_ma,temperature_c,fet_status,fet_main_enabled,commanded_fet_state,learning_status,segment_type,target_pct,segment_coulomb_mah,stop_reason
1592.62,1703022,3417.61962890625,3479.3828125,3484.55322265625,3485.2783203125,3482.046142578125,3485.811767578125,3517.026123046875,3417.617431640625,3479.38720703125,3484.5390625,3485.312744140625,3481.959716796875,3485.840576171875,3516.96435546875,24351.62109375,24351.634765625,-8.50961971282959,-8.566269874572754,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1592.67,1703073,3417.7001953125,3479.290771484375,3484.476318359375,3485.341064453125,3481.988525390625,3485.991943359375,3516.809326171875,3417.659912109375,3479.344482421875,3484.543212890625,3485.289794921875,3482.0009765625,3485.885498046875,3516.925048828125,24351.650390625,24351.6484375,-8.46938705444336,-8.44587230682373,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1592.72,1703125,3417.560791015625,3479.451904296875,3484.514404296875,3485.306884765625,3481.886962890625,3485.878662109375,3516.858642578125,3417.605712890625,3479.39501953125,3484.5009765625,3485.3232421875,3481.956298828125,3485.888671875,3516.907958984375,24351.578125,24351.607421875,-8.929832458496094,-8.519359588623047,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1592.77,1703175,3417.570556640625,3479.502685546875,3484.409912109375,3485.393798828125,3481.872802734375,3485.964599609375,3516.89111328125,3417.61474609375,3479.464599609375,3484.4638671875,3485.34814453125,3481.944580078125,3485.90869140625,3516.884521484375,24351.62890625,24351.62109375,-8.862777709960938,-8.565862655639648,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1592.83,1703227,3417.56298828125,3479.468017578125,3484.470947265625,3485.525146484375,3481.9306640625,3486.045654296875,3516.695556640625,3417.619140625,3479.423095703125,3484.50244140625,3485.406494140625,3481.95654296875,3485.99853515625,3516.77392578125,24351.66015625,24351.634765625,-8.929832458496094,-8.673763275146484,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1592.88,1703278,3417.6865234375,3479.3828125,3484.533447265625,3485.3212890625,3481.925537109375,3485.981201171875,3516.70263671875,3417.661376953125,3479.404541015625,3484.506103515625,3485.37255859375,3481.97607421875,3485.88232421875,3516.849365234375,24351.6640625,24351.66015625,-8.7197265625,-8.684995651245117,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1592.93,1703328,3417.60888671875,3479.410400390625,3484.403564453125,3485.330078125,3481.9521484375,3485.833251953125,3516.866943359375,3417.627197265625,3479.415771484375,3484.465087890625,3485.370361328125,3481.975341796875,3485.887939453125,3516.896484375,24351.638671875,24351.654296875,-8.371038436889648,-8.758576393127441,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1592.98,1703379,3417.587646484375,3479.352294921875,3484.4814453125,3485.34228515625,3482.01611328125,3486.082275390625,3516.785400390625,3417.609375,3479.3798828125,3484.45947265625,3485.369873046875,3481.989990234375,3485.938232421875,3516.86376953125,24351.591796875,24351.59765625,-8.724196434020996,-8.656054496765137,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1593.03,1703430,3417.630126953125,3479.394775390625,3484.3369140625,3485.310302734375,3482.0244140625,3485.9140625,3516.852294921875,3417.59521484375,3479.39794921875,3484.449951171875,3485.365966796875,3481.946044921875,3485.9970703125,3516.804443359375,24351.560546875,24351.56640625,-8.518560409545898,-8.56143856048584,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1593.08,1703481,3417.58544921875,3479.322509765625,3484.426513671875,3485.34326171875,3482.035888671875,3485.948486328125,3516.785400390625,3417.59228515625,3479.38232421875,3484.43994140625,3485.353515625,3481.998779296875,3485.947265625,3516.814208984375,24351.4921875,24351.54296875,-8.616908073425293,-8.490530014038086,30.142730712890625,0,False,OFF,0,REST,8,0.000,
